"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-01",,"74","81",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-02",,"72","82","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-03",,"70","79","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-04",,"70","79","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-05",,"73","81","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-06",,"71","81","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-07",,"72","79","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-08",,"70","79","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-09",,"71","81","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-10",,"74",,"63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-11",,"74","84","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-12",,"74","82","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-13",,"72","84","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-14",,"72",,"63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-15",,"74","82","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-16",,"72","82","68"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-17",,"72","82","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-18",,"72","82","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-19",,"71","79","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-20",,"74","81","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-21",,"73","81","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-22",,"71","79","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-24",,"70","81","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-26",,"71","79","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-28",,"71",,"63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-29",,"70","82","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-30",,"71","79","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-03-31",,"70","79","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-04-01",,"71","82","63"
